08:07:31 [hook] session-start: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:07:32 [hook] session-start: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:02 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:17 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:34 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:42 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:45 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:51 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:56 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:11:58 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:00 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:01 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:25 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:26 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:26 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:12:29 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:13:00 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:13:14 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:13:35 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:14:42 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:15:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:15:32 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:15:57 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:16:17 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:44 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:46 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:48 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:50 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:52 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:56 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:17:59 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:18:10 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:23:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:27:21 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:27:57 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:28:09 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:29:48 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:30:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:30:31 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:30:32 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:30:45 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:31:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:31:46 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:32:03 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:33:10 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:33:27 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:33:32 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:33:43 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:33:48 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:34:01 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:34:01 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:34:13 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:34:21 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:34:21 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:14 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:20 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:20 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:37 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:38 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:35:53 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:10 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:21 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:22 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:29 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:41 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:49 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:55 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:36:56 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:10 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:24 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:33 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:36 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:51 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:37:56 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:38:04 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:38:10 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:38:20 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:38:39 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
08:38:50 [hook] post-tool: PROJECT_DIR=/Users/ricopichardo/Claude/BTCSpiker PIPELINE_DIR=/Users/ricopichardo/.claude/plugins/cache/claude-plugins-official/remember/0.8.3 PYTHON=python3 REMEMBER_DIR=/Users/ricopichardo/Claude/BTCSpiker/.remember
